OBS,ID,SAMPL,AGE,SEX,HD,TT,DL,DB,CA,SG,ER,CL,PC
532,113,31,A,F,2,0,0,0,1,0,0,0,0
533,114,31,A,F,0,0,0,0,0,1,1,0,0
534,115,31,A,M,0,0,0,0,0,0,0,0,0
535,116,31,A,F,11,1,0,0,0,1,0,0,0
536,117,31,A,M,0,0,0,0,0,0,0,0,0
537,123,31,A,F,0,0,0,0,0,0,0,0,0
538,124,31,A,F,9,23,5,0,0,0,0,0,0
539,125,31,A,M,0,0,0,0,0,0,0,0,0
540,126,31,A,F,0,11,0,3,0,3,0,1,1
541,128,31,A,F,0,0,0,0,8,0,0,0,0
542,179,31,A,M,0,2,0,0,0,0,0,0,0
543,180,31,A,F,0,0,0,0,0,1,0,1,0
544,185,31,A,F,8,2,0,0,0,2,0,0,0
545,186,31,A,F,0,0,0,0,0,0,0,0,0
546,187,31,A,F,2,4,1,0,0,0,2,0,0
547,188,31,A,F,1,0,0,0,0,0,0,0,0
548,189,31,A,F,6,1,0,0,0,0,0,0,0
640,725,31,A,F,29,0,0,0,0,0,0,0,0
576,311,32,A,M,0,0,0,0,0,6,0,0,0
577,313,32,A,F,0,0,0,0,0,0,0,0,0
578,314,32,A,F,3,22,14,0,0,3,1,0,0
579,315,32,A,M,36,33,0,0,0,8,0,0,0
580,316,32,A,M,0,0,0,0,0,4,0,0,0
581,317,32,A,F,1,4,0,0,0,0,0,0,0
609,349,32,A,M,1,1,0,0,0,0,0,0,0
610,350,32,A,M,3,0,0,0,0,0,0,0,0
611,351,32,S,M,0,20,0,0,0,0,0,0,0
612,353,32,A,F,34,0,0,0,0,0,0,0,0
613,355,32,S,F,68,89,0,0,0,0,0,0,0
614,356,32,S,F,0,6,0,0,0,0,0,0,0
615,357,32,A,F,4,0,3,0,0,5,0,0,0
616,358,32,A,F,30,0,0,0,0,0,1,0,0
617,359,32,A,M,0,7,0,6,0,1,0,0,0
618,360,32,A,M,7,0,0,0,0,0,0,0,0
619,361,32,A,M,35,3,0,0,0,0,0,0,0
620,362,32,A,F,73,1,0,1,0,2,0,0,0
621,363,32,A,M,0,0,0,0,1,0,0,0,0
622,364,32,S,F,5,8,4,0,0,0,0,0,0
623,365,32,A,F,1,1,5,0,0,1,0,0,0
624,402,32,A,M,1,0,0,0,0,0,0,0,0
625,403,32,A,F,1,0,0,0,0,0,0,0,0
626,404,32,S,F,0,0,0,0,0,0,0,0,1
627,405,32,A,F,0,0,0,0,0,0,0,0,0
628,406,32,A,F,0,41,0,0,0,1,0,0,0
629,407,32,A,F,3,1,0,0,0,4,0,0,0
630,408,32,A,M,5,5,0,0,0,0,0,0,0
631,409,32,A,F,0,1,0,0,0,0,0,0,0
632,410,32,A,F,0,0,0,0,0,8,0,0,0
633,411,32,A,F,0,28,0,0,0,0,0,0,0
634,412,32,A,F,11,0,0,0,0,0,0,0,0
635,413,32,A,F,0,0,0,0,0,0,0,0,0
636,414,32,A,M,0,45,0,0,0,0,0,0,0
637,415,32,S,M,64,1,1,0,0,7,0,0,0
643,31,41,A,F,7,2,0,0,0,0,0,0,0
644,32,41,A,M,173,14,0,0,0,0,0,0,0
645,33,41,A,F,3,0,2,0,0,0,2,0,0
646,34,41,A,M,126,4,0,0,0,0,0,0,0
647,34,41,A,M,78,65,0,0,0,0,0,0,0
648,37,41,A,F,37,77,0,0,0,0,0,0,0
649,38,41,A,F,16,21,1,0,0,0,0,0,0
650,39,41,A,F,9,3,0,0,0,0,0,0,0
651,46,41,A,M,118,26,0,0,0,0,0,0,0
652,47,41,A,M,1,0,0,0,0,0,0,0,0
653,48,41,A,F,13,0,0,0,0,0,0,0,0
654,49,41,A,M,0,0,0,0,0,0,0,0,0
655,51,41,A,F,93,4,0,0,0,0,0,0,0
656,52,41,A,M,9,4,0,0,1,0,0,0,0
657,53,41,S,F,1,1,1,0,0,0,0,0,0
658,54,41,S,M,3,4,1,0,0,0,0,0,0
659,55,41,S,F,78,22,0,0,1,0,0,0,0
660,56,41,A,F,39,0,0,0,0,0,0,0,0
661,57,41,S,M,370,10,0,0,0,0,3,0,0
662,58,41,A,F,33,49,2,0,0,0,1,0,0
663,59,41,A,F,34,0,0,0,0,0,1,0,0
664,61,41,A,F,246,27,0,0,0,0,0,0,0
665,68,41,A,F,25,3,0,0,1,0,0,0,0
666,70,41,A,F,179,4,0,0,0,0,2,0,0
667,71,41,A,M,142,3,0,0,0,0,0,0,0
668,72,41,S,F,333,7,0,0,0,0,5,0,0
669,73,41,S,M,94,2,0,0,0,0,0,0,0
670,74,41,A,F,9,3,0,0,1,0,1,0,0
783,728,41,S,F,38,15,0,0,0,0,0,0,0
701,230,42,A,F,14,0,0,0,0,0,0,0,0
702,231,42,A,M,39,0,0,0,0,0,0,0,0
703,232,42,A,M,98,10,1,1,0,0,3,0,0
704,233,42,A,F,0,0,0,0,0,0,0,0,0
705,234,42,A,M,6,6,0,0,0,0,3,0,0
706,239,42,A,M,0,0,1,0,0,1,0,0,0
707,241,42,S,F,178,0,1,0,0,0,1,0,0
708,244,42,A,F,0,0,0,0,0,0,0,0,0
709,245,42,A,F,54,3,0,0,0,0,0,0,0
710,247,42,A,M,0,0,1,0,0,0,1,0,0
711,248,42,A,F,4,0,0,0,0,0,0,0,0
712,249,42,A,F,0,0,0,0,0,0,0,0,0
713,250,42,A,F,2,0,0,0,0,0,0,0,0
714,256,42,A,M,50,0,0,0,0,0,0,0,0
715,259,42,A,F,139,0,0,0,0,0,0,0,0
716,260,42,A,M,256,110,1,0,0,0,0,0,0
717,261,42,A,M,0,0,0,0,0,0,0,0,0
718,263,42,S,F,49,14,0,0,0,0,0,0,0
719,264,42,A,F,0,0,0,0,0,0,0,0,0
720,265,42,S,M,94,207,0,0,0,0,3,0,0
721,267,42,A,F,0,0,0,0,1,0,0,0,0
722,269,42,A,M,2,0,2,0,0,0,0,0,0
723,270,42,A,F,1,0,0,0,0,0,1,0,0
724,271,42,A,F,9,0,0,0,1,0,0,0,0
725,272,42,A,F,12,4,0,0,0,0,0,0,0
726,273,42,A,F,111,15,0,0,0,0,0,0,0
727,275,42,A,F,3,0,0,0,0,0,0,0,0
728,276,42,A,M,73,84,0,0,1,0,0,0,0
729,277,42,A,F,1,10,0,0,1,0,0,0,0
759,416,43,A,M,10,2,1,0,0,0,0,0,0
760,418,43,A,M,28,65,0,0,0,0,0,0,0
761,419,43,A,F,160,2,0,0,0,0,1,0,0
762,420,43,A,F,36,39,2,0,0,0,0,0,0
763,421,43,A,M,0,0,1,0,0,0,0,0,0
764,422,43,A,F,72,0,0,0,0,0,0,0,0
765,423,43,S,M,0,0,0,0,0,0,0,0,0
766,424,43,S,F,1,0,0,0,0,0,0,0,0
767,425,43,A,F,1,2,0,0,0,0,0,0,0
768,426,43,A,M,21,5,0,0,0,0,0,0,0
769,427,43,S,F,0,0,0,0,0,0,0,0,0
770,428,43,A,M,1,34,0,0,0,0,1,0,0
771,429,43,A,F,3,0,1,0,0,0,0,0,0
772,430,43,A,F,2,0,0,0,0,0,0,0,0
773,432,43,A,F,0,0,1,0,0,0,0,0,0
774,433,43,A,F,14,0,0,0,0,0,0,0,0
775,434,43,A,M,22,3,1,0,0,0,0,0,0
776,435,43,S,M,0,0,0,0,0,0,0,0,0
777,436,43,A,F,6,0,0,0,0,0,0,0,0
778,437,43,A,F,2,31,0,0,0,0,0,0,0
779,438,43,A,F,0,5,4,0,0,0,0,0,0
780,439,43,A,M,163,0,0,0,0,0,0,0,0
781,440,43,A,F,16,115,0,0,0,0,0,0,0
782,723,43,A,F,0,1,0,0,0,0,0,0,0
671,129,51,A,M,0,0,0,0,0,1,0,0,0
672,131,51,A,M,87,40,1,0,1,0,0,0,0
673,132,51,A,M,0,1,0,0,0,0,1,0,0
674,133,51,A,F,11,10,0,0,0,0,0,0,0
675,134,51,A,M,65,6,0,0,0,0,3,0,0
676,137,51,A,F,122,14,0,0,0,0,0,0,0
677,138,51,A,M,36,9,0,0,4,0,0,0,0
678,140,51,A,F,2,88,1,0,0,0,0,0,0
679,143,51,A,F,1,1,0,0,1,0,0,0,0
680,144,51,A,F,53,7,0,0,1,0,3,0,0
681,147,51,A,M,36,82,0,0,1,2,0,0,0
682,148,51,A,F,39,0,0,0,0,0,0,0,0
683,149,51,A,M,12,12,0,0,0,0,3,0,0
684,152,51,A,M,15,1,0,0,0,0,0,0,0
685,153,51,A,F,34,0,0,0,0,0,0,0,0
686,155,51,A,M,144,14,0,1,0,1,0,0,0
687,157,51,S,F,0,30,0,0,0,0,1,0,0
688,159,51,A,F,32,12,0,0,0,0,0,0,0
689,163,51,A,M,87,39,0,0,0,0,0,0,0
690,164,51,A,F,9,0,0,0,0,0,2,0,0
691,166,51,A,M,16,57,0,1,0,0,0,0,0
692,167,51,A,M,0,0,0,0,0,0,0,0,0
693,168,51,A,F,0,0,0,0,0,0,0,0,0
694,169,51,S,F,1,0,0,0,0,0,0,0,0
695,171,51,S,F,3,0,0,0,0,0,0,0,0
696,172,51,S,M,38,7,0,0,0,0,0,0,0
697,173,51,S,F,30,25,0,0,0,0,0,0,0
698,174,51,A,M,20,98,0,0,0,0,0,0,0
699,175,51,A,M,35,40,0,0,0,0,0,0,0
700,177,51,A,M,3,21,0,0,0,0,0,0,0
730,367,52,A,M,12,3,0,0,0,0,1,0,0
731,369,52,A,M,12,3,0,0,0,0,0,0,0
732,371,52,A,F,21,0,1,0,0,0,0,0,0
733,373,52,A,M,0,0,0,0,0,0,0,0,0
734,374,52,A,M,17,5,0,6,0,9,0,0,0
735,375,52,A,F,2,0,0,0,0,0,0,0,0
736,376,52,A,F,2,0,0,0,0,12,0,0,0
737,378,52,A,F,18,0,0,0,0,0,2,0,0
738,379,52,A,M,0,0,0,0,0,0,2,0,0
