"","AA4.After","AA4.Before","AA6.After","AA6.Before","AA7.After","AA7.Before","BV1.After","BV1.Before","IS1.After","IS1.Before","MN1.After","MN1.Before","MN2.After","MN2.Before","SH1.After","SH1.Before","SH2.After","SH2.Before"
"Nucella_ostrina",750.476,266.667,80,110.476,259.048,80,788.571,1180.952,148.571,457.143,137.143,1939.048,133.333,274.286,2518.095,761.905,99.048,232.381
"Nucella_canaliculata",7.619,11.429,7.619,7.619,72.381,22.857,15.238,22.857,0,3.81,0,22.857,95.238,171.429,26.667,11.429,0,0
