"Spp","AA1","AA3","AA4","AA5","AA6","AA7","AA8","AA9","AA2"
"Balanus_glandula",0,9.499,0,32.206,25.114,23.664,0,0,27.694
"Chthamalus_dalli",14.147,0,0,19.552,0,17.863,0,0,0
"Mytilus_trossulus",0,0,44.263,27.499,0,0,33.22,53.337,76.942
"Semibalanus_cariosus",0,16.046,0,0,0,0,0,0,0
