"Patch","Pred","Prey","PredSize","PreySize"
"AA4","Nucella_canaliculata","Not_Feeding",9,0
"AA4","Nucella_ostrina","Not_Feeding",9,0
"AA4","Nucella_ostrina","Not_Feeding",17,0
"AA4","Nucella_ostrina","Not_Feeding",14,0
"AA4","Nucella_ostrina","Not_Feeding",10,0
"AA4","Nucella_ostrina","Not_Feeding",11,0
"AA4","Nucella_ostrina","Not_Feeding",17,0
"AA4","Nucella_ostrina","Not_Feeding",14,0
"AA4","Nucella_ostrina","Not_Feeding",16,0
"AA4","Nucella_ostrina","Not_Feeding",11,0
"AA4","Nucella_ostrina","Not_Feeding",12,0
"AA4","Nucella_ostrina","Not_Feeding",15,0
"AA4","Nucella_canaliculata","Not_Feeding",10,0
"AA4","Nucella_ostrina","Not_Feeding",15,0
"AA4","Nucella_ostrina","Not_Feeding",13,0
"AA4","Nucella_ostrina","Not_Feeding",14,0
"AA4","Nucella_ostrina","Not_Feeding",15,0
"AA4","Nucella_ostrina","Not_Feeding",19,0
"AA4","Nucella_ostrina","Balanus_glandula",15,7
"AA4","Nucella_ostrina","Not_Feeding",11,0
"AA4","Nucella_ostrina","Not_Feeding",15,0
"AA4","Nucella_ostrina","Not_Feeding",17,0
"AA4","Nucella_ostrina","Not_Feeding",17,0
"AA4","Nucella_ostrina","Not_Feeding",14,0
"AA4","Nucella_ostrina","Not_Feeding",15,0
"AA4","Nucella_ostrina","Not_Feeding",14,0
"AA4","Nucella_ostrina","Not_Feeding",10,0
"AA4","Nucella_ostrina","Not_Feeding",16,0
"AA4","Nucella_ostrina","Not_Feeding",17,0
