"Spp","AA1","AA2","AA3","AA4","AA5","AA6","AA7","AA8","AA9","AA10"
"Nucella_ostrina",914.286,259.048,133.333,540.952,1142.857,628.571,445.714,1043.81,746.667,354.286
"Nucella_canaliculata",3.81,60.952,53.333,11.429,57.143,133.333,175.238,34.286,11.429,0
