Year,Expt/Location,Aerated/Flowthrough/Neither,Temperature,Container/Individual_#,Pred,PredSource,PredSize,Prey,PreySource,PreySize,Risellopsis_varia height,Drilled?,Prey_post-consumption_Weight,with_operculum_or_radula?,operc_weight,est._%_consumed,leftover_tissue_weight_(dried),Comment,Start_1st,Start_2nd,Exact_Start,End_1st,End_2nd,Exact_End,Min_(days),Max_(days),Midpoint_(days),Start_+_End_Windows,Inverse Window (for Weighting),Both_Start_and_End_within_+/-2hr24min__window
2005,H-Times-TopLab-aerated,Aerated,10,c8-1,Haustrum haustorium,Check datasheets,27,Haustrum scobina,Tauranga Head,11.1,,0,0.229,1,,100,0,,09/06/2005 23:00,10/06/2005 08:10,,12/06/2005 02:20,12/06/2005 10:10,,1.76,2.47,2.11,17:00:00,1.39,0
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.4,,1,0.05,1,0.004,100,0,,09/06/2005 23:10,10/06/2005 08:15,,11/06/2005 19:52,,YES,1.48,1.86,1.67,09:05:00,2.57,0
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,5.3,,1,0.086,1,0.004,100,0,,12/06/2005 17:08,12/06/2005 18:08,,13/06/2005 11:12,,YES,0.71,0.75,0.73,01:00:00,19.35,1
2005,H-Times-TopLab,Aerated,10,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.8,,0,0.073,0,,95,0.002,,11/06/2005 17:00,11/06/2005 18:00,,12/06/2005 15:00,12/06/2005 16:15,,0.88,0.97,0.92,02:15:00,9.64,1
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.7,,1,0.055,1,0.005,100,0,,15/06/2005 03:10,,YES,18/06/2005 06:52,,YES,3.15,3.15,3.15,00:00:00,100,1
2005,H-Times-BottomLab,Neither,10,c14-1,Haustrum haustorium,Check datasheets,23.1,Turbo smaragdus,EPFS Lab Rocks,4.8,,1,0.054,1,0.006,100,0,,14/06/2005 01:00,14/06/2005 08:25,,15/06/2005 02:00,,YES,0.73,1.04,0.89,07:25:00,3.13,0
2005,H-Times-BottomLab,Neither,10,c19-1 (org.68),Haustrum haustorium,Check datasheets,49.9,Diloma aethiops,EPFS Lab Rocks,18.4,,0,3.009,1,,60,,,10/06/2005 23:15,11/06/2005 08:00,,13/06/2005 03:45,,YES,1.82,2.19,2.01,08:45:00,2.67,0
2005,H-Times-BottomLab,Aerated,10,c2-1,Haustrum haustorium,Check datasheets,41.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.5,,0,0.083,0,,90,0.003,,16/06/2005 02:39,,YES,16/06/2005 14:15,,YES,0.48,0.48,0.48,00:00:00,100,1
2005,H-Times-BottomLab,Neither,10,c2-1 (org.69),Haustrum haustorium,Check datasheets,41.6,Siphonaria australis,EPFS & ?Lighthouse Reef,11.1,,0,0.084,0,,100,0,,11/06/2005 17:10,12/06/2005 13:15,,11/06/2005 17:10,12/06/2005 13:15,,0,0.84,0.42,40:10:00,0.59,0
2005,H-Times-TopLab,Aerated,10,c20-2,Haustrum haustorium,Check datasheets,27.6,Siphonaria australis,EPFS & ?Lighthouse Reef,10.8,,0,0.058,0,,95,0.002,"interrupted by moving to video @ 21:20, took exactly 5 hours to commense feeding, ""true"" end time = 12:12 (noon)",12/06/2005 18:00,12/06/2005 23:55,,14/06/2005 07:20,,YES,1.31,1.56,1.43,05:55:00,3.9,0
