published_data.originaltraitname,published_data.habitat,published_data.interactor1,published_data.interactor1size,published_data.interactor1sizeunit,published_data.interactor1sizetype,published_data.interactor1sizesi,published_data.interactor1sizeunitsi,published_data.interactor1massvaluesi,published_data.interactor1massunitsi,published_data.interactor2,published_data.interactor2size,published_data.interactor2sizeunit,published_data.interactor2sizetype,published_data.interactor2sizesi,published_data.interactor2sizeunitsi,published_data.interactor2massvaluesi,published_data.interactor2massunitsi,sizepred,sizeprey
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0333,kilogram,wet body mass (mean),0.0333,kilogram,0.0333,kilogram (wet body mass),80,0.0333
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0011,kilogram,wet body mass (point),0.0011,kilogram,0.0011,kilogram (wet body mass),80,0.0011
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0012,kilogram,wet body mass (point),0.0012,kilogram,0.0012,kilogram (wet body mass),80,0.0012
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0057,kilogram,wet body mass (point),0.0057,kilogram,0.0057,kilogram (wet body mass),80,0.0057
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0106,kilogram,wet body mass (point),0.0106,kilogram,0.0106,kilogram (wet body mass),80,0.0106
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0144,kilogram,wet body mass (point),0.0144,kilogram,0.0144,kilogram (wet body mass),80,0.0144
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0351,kilogram,wet body mass (point),0.0351,kilogram,0.0351,kilogram (wet body mass),80,0.0351
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0182,kilogram,wet body mass (point),0.0182,kilogram,0.0182,kilogram (wet body mass),80,0.0182
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0075,kilogram,wet body mass (point),0.0075,kilogram,0.0075,kilogram (wet body mass),80,0.0075
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0085,kilogram,wet body mass (point),0.0085,kilogram,0.0085,kilogram (wet body mass),80,0.0085
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0364,kilogram,wet body mass (point),0.0364,kilogram,0.0364,kilogram (wet body mass),80,0.0364
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0309,kilogram,wet body mass (point),0.0309,kilogram,0.0309,kilogram (wet body mass),80,0.0309
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0723,kilogram,wet body mass (point),0.0723,kilogram,0.0723,kilogram (wet body mass),80,0.0723
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0325,kilogram,wet body mass (point),0.0325,kilogram,0.0325,kilogram (wet body mass),80,0.0325
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0132,kilogram,wet body mass (point),0.0132,kilogram,0.0132,kilogram (wet body mass),80,0.0132
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0127,kilogram,wet body mass (point),0.0127,kilogram,0.0127,kilogram (wet body mass),80,0.0127
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0219,kilogram,wet body mass (point),0.0219,kilogram,0.0219,kilogram (wet body mass),80,0.0219
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0317,kilogram,wet body mass (point),0.0317,kilogram,0.0317,kilogram (wet body mass),80,0.0317
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0175,kilogram,wet body mass (point),0.0175,kilogram,0.0175,kilogram (wet body mass),80,0.0175
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0037,kilogram,wet body mass (point),0.0037,kilogram,0.0037,kilogram (wet body mass),80,0.0037
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0055,kilogram,wet body mass (point),0.0055,kilogram,0.0055,kilogram (wet body mass),80,0.0055
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0075,kilogram,wet body mass (point),0.0075,kilogram,0.0075,kilogram (wet body mass),80,0.0075
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0057,kilogram,wet body mass (point),0.0057,kilogram,0.0057,kilogram (wet body mass),80,0.0057
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0011,kilogram,wet body mass (point),0.0011,kilogram,0.0011,kilogram (wet body mass),80,0.0011
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0309,kilogram,wet body mass (point),0.0309,kilogram,0.0309,kilogram (wet body mass),80,0.0309
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0012,kilogram,wet body mass (point),0.0012,kilogram,0.0012,kilogram (wet body mass),80,0.0012
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0182,kilogram,wet body mass (point),0.0182,kilogram,0.0182,kilogram (wet body mass),80,0.0182
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0351,kilogram,wet body mass (point),0.0351,kilogram,0.0351,kilogram (wet body mass),80,0.0351
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0364,kilogram,wet body mass (point),0.0364,kilogram,0.0364,kilogram (wet body mass),80,0.0364
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0325,kilogram,wet body mass (point),0.0325,kilogram,0.0325,kilogram (wet body mass),80,0.0325
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0037,kilogram,wet body mass (point),0.0037,kilogram,0.0037,kilogram (wet body mass),80,0.0037
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0317,kilogram,wet body mass (point),0.0317,kilogram,0.0317,kilogram (wet body mass),80,0.0317
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0175,kilogram,wet body mass (point),0.0175,kilogram,0.0175,kilogram (wet body mass),80,0.0175
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0085,kilogram,wet body mass (point),0.0085,kilogram,0.0085,kilogram (wet body mass),80,0.0085
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0127,kilogram,wet body mass (point),0.0127,kilogram,0.0127,kilogram (wet body mass),80,0.0127
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0219,kilogram,wet body mass (point),0.0219,kilogram,0.0219,kilogram (wet body mass),80,0.0219
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0132,kilogram,wet body mass (point),0.0132,kilogram,0.0132,kilogram (wet body mass),80,0.0132
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0055,kilogram,wet body mass (point),0.0055,kilogram,0.0055,kilogram (wet body mass),80,0.0055
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0309,kilogram,wet body mass (point),0.0309,kilogram,0.0309,kilogram (wet body mass),80,0.0309
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0055,kilogram,wet body mass (point),0.0055,kilogram,0.0055,kilogram (wet body mass),80,0.0055
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0037,kilogram,wet body mass (point),0.0037,kilogram,0.0037,kilogram (wet body mass),80,0.0037
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0075,kilogram,wet body mass (point),0.0075,kilogram,0.0075,kilogram (wet body mass),80,0.0075
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0144,kilogram,wet body mass (point),0.0144,kilogram,0.0144,kilogram (wet body mass),80,0.0144
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0317,kilogram,wet body mass (point),0.0317,kilogram,0.0317,kilogram (wet body mass),80,0.0317
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0325,kilogram,wet body mass (point),0.0325,kilogram,0.0325,kilogram (wet body mass),80,0.0325
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0182,kilogram,wet body mass (point),0.0182,kilogram,0.0182,kilogram (wet body mass),80,0.0182
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0132,kilogram,wet body mass (point),0.0132,kilogram,0.0132,kilogram (wet body mass),80,0.0132
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0012,kilogram,wet body mass (point),0.0012,kilogram,0.0012,kilogram (wet body mass),80,0.0012
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0011,kilogram,wet body mass (point),0.0011,kilogram,0.0011,kilogram (wet body mass),80,0.0011
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0085,kilogram,wet body mass (point),0.0085,kilogram,0.0085,kilogram (wet body mass),80,0.0085
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0723,kilogram,wet body mass (point),0.0723,kilogram,0.0723,kilogram (wet body mass),80,0.0723
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0175,kilogram,wet body mass (point),0.0175,kilogram,0.0175,kilogram (wet body mass),80,0.0175
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0364,kilogram,wet body mass (point),0.0364,kilogram,0.0364,kilogram (wet body mass),80,0.0364
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0219,kilogram,wet body mass (point),0.0219,kilogram,0.0219,kilogram (wet body mass),80,0.0219
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0127,kilogram,wet body mass (point),0.0127,kilogram,0.0127,kilogram (wet body mass),80,0.0127
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.046,kilogram,wet body mass (point),0.046,kilogram,0.046,kilogram (wet body mass),80,0.046
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0435,kilogram,wet body mass (point),0.0435,kilogram,0.0435,kilogram (wet body mass),80,0.0435
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0332,kilogram,wet body mass (point),0.0332,kilogram,0.0332,kilogram (wet body mass),80,0.0332
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0394,kilogram,wet body mass (point),0.0394,kilogram,0.0394,kilogram (wet body mass),80,0.0394
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.02,kilogram,wet body mass (point),0.02,kilogram,0.02,kilogram (wet body mass),80,0.02
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.029,kilogram,wet body mass (point),0.029,kilogram,0.029,kilogram (wet body mass),80,0.029
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0014,kilogram,wet body mass (point),0.0014,kilogram,0.0014,kilogram (wet body mass),80,0.0014
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0317,kilogram,wet body mass (point),0.0317,kilogram,0.0317,kilogram (wet body mass),80,0.0317
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0364,kilogram,wet body mass (point),0.0364,kilogram,0.0364,kilogram (wet body mass),80,0.0364
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0013,kilogram,wet body mass (point),0.0013,kilogram,0.0013,kilogram (wet body mass),80,0.0013
Escape Body Velocity,terrestrial,Homo sapiens,NA,,,80,kilogram,80,kilogram (wet body mass),Thamnophis sirtalis,0.0106,kilogram,wet body mass (point),0.0106,kilogram,0.0106,kilogram (wet body mass),80,0.0106
