 Beta  Tc  Pc  Ingestion  Digestion
3.1833e-08 1.9682e-04 0.6737 3.1175e-21 7.1136e+01
1.2325e-06 3.5408e-03 0.5265 9.0481e-20 1.8091e+01
2.2193e-08 0.0000e+00 0.0000 2.3354e-21 8.9143e+01
2.2193e-08 0.0000e+00 0.0000 2.3354e-21 8.9143e+01
7.8109e-08 2.2378e-04 0.5400 5.1041e-21 4.8397e+01
7.8109e-08 2.2378e-04 0.5400 5.1041e-21 4.8397e+01
2.2294e-07 1.6654e-03 0.5069 1.1670e-20 2.5364e+01
1.6889e-08 0.0000e+00 0.0000 1.5132e-21 1.2512e+02
1.6889e-08 0.0000e+00 0.0000 1.5132e-21 1.2512e+02
1.6889e-08 0.0000e+00 0.0000 1.5132e-21 1.2512e+02
1.6889e-08 0.0000e+00 0.0000 1.5132e-21 1.2512e+02
1.6889e-08 0.0000e+00 0.0000 1.5132e-21 1.2512e+02
1.6889e-08 0.0000e+00 0.0000 1.5132e-21 1.2512e+02
6.2075e-10 0.0000e+00 0.0000 1.1620e-22 9.2935e+02
6.7651e-07 0.0000e+00 0.0000 1.0539e-18 5.9301e+02
4.7061e-07 0.0000e+00 0.0000 7.7870e-19 7.5118e+02
4.8344e-07 0.0000e+00 0.0000 7.9644e-19 7.3808e+02
5.7390e-07 0.0000e+00 0.0000 9.1913e-19 6.5992e+02
5.5515e-07 0.0000e+00 0.0000 8.9402e-19 6.7435e+02
5.3243e-07 0.0000e+00 0.0000 8.6338e-19 6.9298e+02
1.0546e-06 0.0000e+00 0.0000 1.5210e-18 4.4524e+02
1.1030e-06 0.0000e+00 0.0000 1.5781e-18 4.3260e+02
1.0678e-06 0.0000e+00 0.0000 1.5365e-18 4.4172e+02
1.1312e-06 0.0000e+00 0.0000 1.6112e-18 4.2564e+02
1.2955e-06 0.0000e+00 0.0000 1.8007e-18 3.9022e+02
1.0896e-06 0.0000e+00 0.0000 1.5623e-18 4.3600e+02
4.1305e-07 1.2572e-03 0.5100 4.8557e-20 4.5106e+01
4.1050e-07 1.2556e-03 0.5096 4.8321e-20 4.5278e+01
3.8990e-07 1.2423e-03 0.5333 4.6397e-20 4.6738e+01
4.6614e-07 1.6110e-03 0.5263 5.3415e-20 4.1868e+01
4.1793e-07 1.2602e-03 0.5106 4.9009e-20 4.4781e+01
