 Beta  Tc  Pc  Ingestion  Digestion
8.5331e-06 2.5040e-02 0.9725 5.4245e-19 7.5777e-02
1.4095e-05 2.7605e-02 0.9790 7.8878e-19 5.6560e-02
1.9906e-05 3.0038e-02 0.9839 1.0910e-18 4.3900e-02
2.9978e-05 3.2361e-02 0.9873 1.4523e-18 3.5108e-02
4.0995e-05 3.3018e-02 0.9889 1.8758e-18 2.8746e-02
1.4705e-04 4.2671e-02 1.0000 5.0220e-18 1.3318e-02
2.3951e-06 2.9945e-02 0.5306 2.7353e-16 2.2081e+02
6.2199e-06 3.3470e-02 0.5278 8.2712e-16 2.5428e+02
9.1558e-06 3.7561e-02 0.5314 2.0427e-15 2.8536e+02
1.5063e-05 4.1407e-02 0.5349 4.3872e-15 3.1458e+02
2.1444e-05 4.5056e-02 0.5360 8.5066e-15 3.4231e+02
3.2068e-05 4.7070e-02 0.5305 1.5255e-14 3.6878e+02
4.3845e-05 5.0314e-02 0.5337 2.5723e-14 3.9419e+02
1.5565e-04 6.2991e-02 0.5356 1.9210e-13 5.0943e+02
9.8849e-08 2.0393e-02 0.5163 5.7424e-18 5.8754e+02
9.8849e-08 2.0393e-02 0.5163 5.7424e-18 5.8754e+02
9.8849e-08 2.0393e-02 0.5163 5.7424e-18 5.8754e+02
9.8849e-08 2.0393e-02 0.5163 5.7424e-18 5.8754e+02
8.9498e-13 9.4045e-04 0.7004 1.6966e-26 4.8790e+00
2.3949e-11 2.1125e-03 0.7816 2.9914e-25 1.6774e+00
9.5792e-12 2.0724e-03 0.7628 1.5378e-25 2.8211e+00
4.5656e-11 2.7215e-03 0.9257 5.8192e-25 9.9740e-01
1.6787e-12 1.1503e-03 0.7330 2.5039e-26 3.5997e+00
2.5366e-12 1.3538e-03 0.7600 3.3003e-26 2.9011e+00
4.5656e-11 2.7215e-03 0.9257 5.8192e-25 9.9740e-01
9.5746e-12 1.9984e-03 0.8872 7.9539e-26 1.4592e+00
2.5366e-12 1.3538e-03 0.7600 3.3003e-26 2.9011e+00
1.6787e-12 1.1503e-03 0.7330 2.5039e-26 3.5997e+00
2.3949e-11 2.1125e-03 0.7816 2.9914e-25 1.6774e+00
8.9498e-13 9.4045e-04 0.7004 1.6966e-26 4.8790e+00
4.5656e-11 2.7215e-03 0.9257 5.8192e-25 9.9740e-01
8.9498e-13 9.4045e-04 0.7004 1.6966e-26 4.8790e+00
1.6787e-12 1.1503e-03 0.7330 2.5039e-26 3.5997e+00
2.3949e-11 2.1125e-03 0.7816 2.9914e-25 1.6774e+00
9.5746e-12 1.9984e-03 0.8872 7.9539e-26 1.4592e+00
2.5366e-12 1.3538e-03 0.7600 3.3003e-26 2.9011e+00
3.2744e-06 2.1832e-02 0.9588 2.6668e-19 1.2898e-01
1.4010e-05 2.8750e-02 0.6017 9.6369e-17 2.1236e+01
1.4010e-05 2.8750e-02 0.6017 9.6369e-17 2.1236e+01
1.1002e-05 2.9750e-02 0.6137 1.0989e-16 1.9165e+01
1.1002e-05 2.9750e-02 0.6137 1.0989e-16 1.9165e+01
2.6656e-10 8.3503e-03 0.5162 1.6131e-21 3.9399e+02
6.4559e-10 0.0000e+00 0.0000 2.9792e-20 7.2763e+03
2.2809e-10 5.2886e-03 0.5585 1.8302e-22 4.4700e+01
2.4515e-10 5.8452e-03 0.5283 5.6181e-22 1.3721e+02
2.9528e-07 1.5339e-02 0.7161 2.3915e-19 3.8727e+00
9.8665e-07 1.9089e-02 0.7866 6.4026e-19 1.7942e+00
2.2931e-06 2.1137e-02 0.8236 1.2877e-18 1.0395e+00
3.1211e-08 1.1361e-02 0.5968 4.4414e-20 1.4428e+01
2.9528e-07 1.5339e-02 0.7161 2.3915e-19 3.8727e+00
9.8665e-07 1.9089e-02 0.7866 6.4026e-19 1.7942e+00
2.2931e-06 2.1137e-02 0.8236 1.2877e-18 1.0395e+00
3.1211e-08 1.1361e-02 0.5968 4.4414e-20 1.4428e+01
1.2277e-07 1.3735e-02 0.6710 1.1891e-19 6.6847e+00
2.9528e-07 1.5339e-02 0.7161 2.3915e-19 3.8727e+00
9.8665e-07 1.9089e-02 0.7866 6.4026e-19 1.7942e+00
2.2931e-06 2.1137e-02 0.8236 1.2877e-18 1.0395e+00
3.1211e-08 1.1361e-02 0.5968 4.4414e-20 1.4428e+01
1.2277e-07 1.3735e-02 0.6710 1.1891e-19 6.6847e+00
4.6477e-05 3.5460e-02 0.9297 1.3375e-17 1.7298e-01
4.9042e-05 3.5847e-02 0.9314 1.3944e-17 1.6743e-01
4.4338e-05 3.5157e-02 1.0000 4.0505e-21 5.5548e-05
2.1535e-06 1.9130e-02 1.0000 4.5894e-22 4.0431e-04
5.1080e-05 3.6146e-02 1.0000 4.5057e-21 5.1113e-05
3.3942e-16 3.3461e-04 0.7644 7.6104e-30 9.4950e+00
1.8638e-08 9.3156e-03 0.7846 3.4583e-21 2.1764e+00
1.8571e-08 8.9829e-03 0.9095 1.0678e-21 6.7198e-01
1.8571e-08 8.9829e-03 0.9095 1.0678e-21 6.7198e-01
1.8689e-08 9.6483e-03 0.7429 5.1992e-21 3.2720e+00
5.2565e-09 7.1428e-03 0.8413 3.8510e-22 1.4906e+00
1.8638e-08 9.3156e-03 0.7846 3.4583e-21 2.1764e+00
1.8638e-08 9.3156e-03 0.7846 3.4583e-21 2.1764e+00
5.2698e-09 7.3979e-03 0.7604 7.5164e-22 2.9094e+00
1.8638e-08 9.3156e-03 0.7846 3.4583e-21 2.1764e+00
1.8730e-08 9.6483e-03 0.7037 7.3140e-21 4.6029e+00
1.8571e-08 8.9829e-03 0.9095 1.0678e-21 6.7198e-01
5.2862e-09 7.6530e-03 0.7036 1.2473e-21 4.8278e+00
1.8601e-08 9.3156e-03 0.8434 2.0841e-21 1.3116e+00
1.8571e-08 8.9829e-03 0.9095 1.0678e-21 6.7198e-01
2.8608e-06 3.3368e-02 0.5241 6.5659e-16 4.5076e+02
4.6251e-08 1.1240e-02 0.6669 2.9311e-20 6.4918e+00
2.4027e-08 9.5027e-03 0.7848 3.9603e-21 2.1753e+00
1.6528e-09 6.4639e-03 0.6956 3.4649e-22 5.3279e+00
2.4240e-08 1.0521e-02 0.6354 1.7603e-20 9.6688e+00
4.2703e-09 7.4193e-03 0.6795 1.1747e-21 5.6216e+00
2.4068e-08 9.8421e-03 0.7494 5.6118e-21 3.0824e+00
9.8016e-09 8.5510e-03 0.7427 2.3079e-21 3.3168e+00
4.3345e-09 7.9139e-03 0.5810 3.1404e-21 1.5029e+01
9.7695e-09 8.2561e-03 0.8070 1.3109e-21 1.8840e+00
4.5937e-08 1.0465e-02 0.8197 6.5943e-21 1.4605e+00
4.2896e-09 7.6666e-03 0.6452 1.6646e-21 7.9660e+00
4.6137e-08 1.1240e-02 0.7226 1.7629e-20 3.9046e+00
9.9751e-09 9.4356e-03 0.5924 1.0258e-20 1.4743e+01
4.5879e-08 1.0465e-02 0.8799 3.7457e-21 8.2960e-01
2.3988e-08 9.5027e-03 0.8494 2.2495e-21 1.2356e+00
4.5997e-08 1.0852e-02 0.7864 9.3444e-21 2.0696e+00
2.4163e-08 1.0182e-02 0.6852 1.0587e-20 5.8154e+00
1.6653e-09 6.6724e-03 0.6315 6.1000e-22 9.3798e+00
9.8347e-09 8.8459e-03 0.7074 3.2703e-21 4.7001e+00
9.9122e-09 9.1407e-03 0.6409 6.1699e-21 8.8673e+00
1.6784e-09 6.8809e-03 0.5960 8.6440e-22 1.3291e+01
4.2518e-09 7.1720e-03 0.7459 6.6724e-22 3.1932e+00
2.4108e-08 9.8421e-03 0.7082 8.0097e-21 4.3995e+00
2.4108e-08 9.8421e-03 0.7082 8.0097e-21 4.3995e+00
2.4108e-08 9.8421e-03 0.7082 8.0097e-21 4.3995e+00
2.4108e-08 9.8421e-03 0.7082 8.0097e-21 4.3995e+00
2.4108e-08 9.8421e-03 0.7082 8.0097e-21 4.3995e+00
2.4108e-08 9.8421e-03 0.7082 8.0097e-21 4.3995e+00
1.8589e-08 8.9829e-03 0.8610 1.7060e-21 1.0737e+00
1.8589e-08 8.9829e-03 0.8610 1.7060e-21 1.0737e+00
1.8730e-08 9.6483e-03 0.7037 7.3140e-21 4.6029e+00
1.8589e-08 8.9829e-03 0.8610 1.7060e-21 1.0737e+00
1.8654e-08 9.6483e-03 0.7740 3.9974e-21 2.5157e+00
1.8730e-08 9.6483e-03 0.7037 7.3140e-21 4.6029e+00
1.8589e-08 8.9829e-03 0.8610 1.7060e-21 1.0737e+00
1.8730e-08 9.6483e-03 0.7037 7.3140e-21 4.6029e+00
1.8589e-08 8.9829e-03 0.8610 1.7060e-21 1.0737e+00
1.8730e-08 9.6483e-03 0.7037 7.3140e-21 4.6029e+00
1.8589e-08 8.9829e-03 0.8610 1.7060e-21 1.0737e+00
