Volume Mass Radius Surface Stroke Energy Bs Bt Detection ForSpeed  ForCost
3.4145e-12 3.6877e-09 9.3414e-05 2.7414e-08 2.7274e-03 1.3571e-02 2.8676e-17 8.2232e-35 3.0622e-06 6.8085e-04 8.2356e-11
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
5.9317e-11 6.4062e-08 2.4193e-04 1.8388e-07 5.5682e-03 2.3575e-01 4.4440e-16 1.9749e-32 1.2404e-05 3.8373e-03 4.8347e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
1.2024e-10 1.2986e-07 3.0619e-04 2.9452e-07 6.6441e-03 4.7788e-01 8.7573e-16 7.6690e-32 1.7536e-05 5.4713e-03 5.3440e-09
2.0382e-10 2.2013e-07 3.6508e-04 4.1872e-07 7.5812e-03 8.1007e-01 1.4535e-15 2.1126e-31 2.2711e-05 6.8068e-03 4.3663e-09
1.2024e-10 1.2986e-07 3.0619e-04 2.9452e-07 6.6441e-03 4.7788e-01 8.7573e-16 7.6690e-32 1.7536e-05 5.4713e-03 5.3440e-09
2.0382e-10 2.2013e-07 3.6508e-04 4.1872e-07 7.5812e-03 8.1007e-01 1.4535e-15 2.1126e-31 2.2711e-05 6.8068e-03 4.3663e-09
2.0382e-10 2.2013e-07 3.6508e-04 4.1872e-07 7.5812e-03 8.1007e-01 1.4535e-15 2.1126e-31 2.2711e-05 6.8068e-03 4.3663e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
1.2024e-10 1.2986e-07 3.0619e-04 2.9452e-07 6.6441e-03 4.7788e-01 8.7573e-16 7.6690e-32 1.7536e-05 5.4713e-03 5.3440e-09
2.0382e-10 2.2013e-07 3.6508e-04 4.1872e-07 7.5812e-03 8.1007e-01 1.4535e-15 2.1126e-31 2.2711e-05 6.8068e-03 4.3663e-09
2.0382e-10 2.2013e-07 3.6508e-04 4.1872e-07 7.5812e-03 8.1007e-01 1.4535e-15 2.1126e-31 2.2711e-05 6.8068e-03 4.3663e-09
1.2024e-10 1.2986e-07 3.0619e-04 2.9452e-07 6.6441e-03 4.7788e-01 8.7573e-16 7.6690e-32 1.7536e-05 5.4713e-03 5.3440e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
3.3334e-11 3.6001e-08 1.9965e-04 1.2522e-07 4.8211e-03 1.3248e-01 2.5556e-16 6.5312e-33 9.3522e-06 2.7584e-03 2.1673e-09
1.3889e-11 1.5000e-08 1.4912e-04 6.9856e-08 3.8734e-03 5.5200e-02 1.1028e-16 1.2161e-33 6.0898e-06 1.6350e-03 6.2918e-10
